STARTED:[2015-02-16|00:04:47]
[2015-02-16|06:12:44];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:12:46];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:18:12];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:18:14];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:18:16];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:18:16];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:23:42];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:23:45];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:23:47];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:23:47];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:29:12];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:29:15];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:29:17];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:29:18];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:35:40];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:35:40];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:35:40];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:35:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:41:11];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:41:11];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:41:12];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:41:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:46:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:46:42];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:46:43];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:46:45];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:52:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:52:12];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:52:14];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:52:16];1;15;Cellcom GN;READY;COM17
[2015-02-16|06:57:42];1;16;Cellcom GN;READY;COM20
[2015-02-16|06:57:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|06:57:45];1;16;Cellcom GN;READY;COM22
[2015-02-16|06:57:46];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:03:12];1;13;Cellcom GN;READY;COM20
[2015-02-16|07:03:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:03:15];1;13;Cellcom GN;READY;COM22
[2015-02-16|07:03:17];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:08:42];1;16;Cellcom GN;READY;COM20
[2015-02-16|07:08:43];1;11;Cellcom GN;READY;COM16
[2015-02-16|07:08:45];1;16;Cellcom GN;READY;COM22
[2015-02-16|07:08:47];1;11;Cellcom GN;READY;COM17
[2015-02-16|07:14:13];1;16;Cellcom GN;READY;COM20
[2015-02-16|07:14:13];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:14:15];1;16;Cellcom GN;READY;COM22
[2015-02-16|07:14:18];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:19:43];1;13;Cellcom GN;READY;COM20
[2015-02-16|07:19:43];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:19:46];1;13;Cellcom GN;READY;COM22
[2015-02-16|07:19:48];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:25:13];1;13;Cellcom GN;READY;COM20
[2015-02-16|07:25:13];1;12;Cellcom GN;READY;COM16
[2015-02-16|07:25:16];1;13;Cellcom GN;READY;COM22
